event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,team
8,47,435,1903692,1936166,4364969,20,5,1010,1,0,5,tbc
9,49,484,7110177,7205119,4791787,70,5,1012,0,0,20,tbc
10,43,527,3831430,3861365,4536390,40,0,1009,2,0,9,tbc
11,70,597,794038,818481,3354895,10,0,1008,0,0,5,tbc
12,52,649,4589276,4599614,3322107,45,6,1010,3,0,11,tbc
13,68,717,3469240,3526467,3141658,35,6,1010,0,0,12,tbc
14,62,779,4526334,4556856,3121633,45,23,1012,2,0,0,tbc
15,23,802,10679616,10681935,4297112,100,28,1012,1,0,0,tbc
16,39,841,8145320,8231118,4666453,75,28,1013,0,0,5,tbc
17,89,930,1036360,1051243,3757233,10,4,1015,2,0,1,tbc
18,55,985,4975611,5014312,3786087,50,51,1016,1,0,13,tbc
19,52,1037,8652008,8705496,4331393,80,51,1020,0,0,3,tbc
20,63,1100,4695353,4723605,4343298,45,40,1019,2,0,1,tbc
21,55,1155,5437644,5509119,4432694,50,40,1017,0,0,14,tbc
22,45,1200,5845307,5873986,4416641,55,31,1021,2,0,4,tbc
23,49,1249,9366285,9434105,4714176,85,31,1024,0,0,7,tbc
24,146,1395,225407,235468,3675641,5,12,1022,1,0,10,tbc
25,98,1493,1443675,1469115,3390212,15,9,1020,2,0,7,tbc
26,71,1564,4280079,4342793,3425109,40,17,1020,0,0,23,tbc
27,75,1639,282728,290914,3000440,5,10,1020,1,0,8,tbc
28,60,1699,3798003,3899730,3021188,35,10,1022,0,0,20,tbc
29,73,1772,468974,474456,2441699,5,18,1020,2,0,0,tbc
30,62,1834,684732,719480,2185412,10,18,1022,0,0,8,tbc
31,38,1872,4109926,4130611,2167411,40,35,1019,2,0,7,tbc
32,94,1966,362097,370774,1735118,5,75,1017,2,0,3,tbc
33,117,2083,9952,10114,1019923,1,61,1017,1,0,11,tbc
34,71,2154,1411656,1443341,940681,15,61,1021,0,0,13,tbc
35,44,2194,4991332,5009103,995990,45,52,1021,2,4,3,tbc
36,59,2253,1155747,1196591,904104,15,110,1015,0,0,27,tbc
37,56,2309,1297691,1323574,840529,15,88,1017,1,0,7,tbc
38,59,2368,2086199,2110411,813300,20,84,1021,1,0,0,tbc
1,80,80,321537,332428,321537,5,10,1000,0,0,3,Aribo Tangfastics
2,64,144,6151164,6162800,1764443,65,5,1001,1,0,4,Aribo Tangfastics
3,65,209,5201833,5212782,2579747,55,2,1006,0,0,10,Aribo Tangfastics
4,43,252,7602452,7610162,3465245,75,1,1007,1,0,1,Aribo Tangfastics
5,56,308,5684384,5701400,3784838,60,1,1009,0,0,0,Aribo Tangfastics
6,80,380,580408,580613,2187602,10,6,1010,4,8,9,Aribo Tangfastics
7,51,431,3513214,3524703,1922925,35,5,1012,1,0,3,Aribo Tangfastics
8,39,470,4231748,4245003,1886803,45,7,1012,1,0,5,Aribo Tangfastics
9,71,541,960561,967611,1292410,10,32,1015,1,0,3,Aribo Tangfastics
10,62,603,312845,315776,657760,5,12,1018,1,0,19,Aribo Tangfastics
11,70,673,794038,799779,406131,10,12,1022,0,0,3,Aribo Tangfastics
12,63,732,2048578,2051292,413413,20,0,1025,3,4,12,Aribo Tangfastics
13,67,799,3676716,3688029,512830,35,0,1028,0,0,3,Aribo Tangfastics
14,72,867,2029391,2031335,483998,20,8,1028,3,4,3,Aribo Tangfastics
15,47,914,6493591,6502843,620502,60,3,1032,1,0,3,Aribo Tangfastics
16,52,966,3805062,3818872,620873,35,0,1035,1,0,10,Aribo Tangfastics
17,90,1048,945802,947703,565601,10,17,1039,3,8,24,Aribo Tangfastics
18,63,1111,2655121,2667462,557848,25,47,1046,1,0,5,Aribo Tangfastics
19,107,1210,27515,27570,314611,1,13,1048,3,8,0,Aribo Tangfastics
20,58,1268,6142557,6154445,404950,60,4,1047,1,0,14,Aribo Tangfastics
21,79,1347,1065732,1073807,308357,10,4,1051,0,0,16,Aribo Tangfastics
22,51,1398,3295295,3316791,285236,30,4,1054,0,0,11,Aribo Tangfastics
23,70,1468,2069136,2071805,233198,20,14,1053,3,0,9,Aribo Tangfastics
24,121,1585,1960547,1965755,270712,20,1,1055,2,4,2,Aribo Tangfastics
25,91,1676,2511209,2519526,281428,25,1,1055,0,0,11,Aribo Tangfastics
26,79,1755,2555198,2562166,295983,25,23,1052,2,0,19,Aribo Tangfastics
27,63,1814,2179193,2184959,284732,20,8,1054,2,4,7,Aribo Tangfastics
28,65,1875,2424194,2431418,282156,25,1,1052,2,4,4,Aribo Tangfastics
29,59,1918,1806076,1806465,332404,20,47,1046,5,16,6,Aribo Tangfastics
30,54,1972,2296874,2326302,308509,25,16,1033,0,0,10,Aribo Tangfastics
31,52,2020,1043660,1046510,296028,10,1,1040,2,4,11,Aribo Tangfastics
32,84,2104,1061566,1067618,265278,10,30,1044,1,0,3,Aribo Tangfastics
33,71,2175,2148534,2155198,258027,20,17,1050,1,0,2,Aribo Tangfastics
34,83,2258,535491,547663,215986,5,17,1053,0,0,4,Aribo Tangfastics
35,39,2293,7130195,7134183,267324,65,5,1050,2,4,3,Aribo Tangfastics
36,42,2331,6034733,6040354,341207,55,14,1048,2,4,33,Aribo Tangfastics
37,34,2361,7514818,7516630,460039,70,6,1045,2,4,18,Aribo Tangfastics
38,53,2414,3529566,3537872,484607,35,19,1051,1,0,10,Aribo Tangfastics
1,65,65,2387076,2481913,2387076,30,5,1000,0,0,4,under my cucurella
2,94,139,577862,578041,2577831,10,0,1000,6,20,5,under my cucurella
3,76,215,2450996,2477213,2036038,25,10,1004,1,0,0,under my cucurella
4,30,237,9728047,9729959,4897324,100,5,1005,3,8,3,under my cucurella
5,57,294,5550284,5580058,4961223,55,0,1006,1,0,4,under my cucurella
6,64,358,2095294,2118372,3971701,25,0,1005,0,0,1,under my cucurella
7,48,406,4288428,4337075,3826156,45,0,1006,0,0,7,under my cucurella
8,55,461,650784,660460,2506100,10,1,1006,1,0,4,under my cucurella
9,80,513,208498,208552,2932761,5,0,1002,8,28,0,under my cucurella
10,32,545,7698530,7748947,3481378,75,0,1007,0,0,3,under my cucurella
11,32,577,9750634,9755767,4501229,95,1,1009,2,0,4,under my cucurella
12,30,595,9854498,9855231,5994258,95,1,1007,4,12,0,under my cucurella
13,44,635,8933273,8936862,6649985,85,18,1004,2,4,5,under my cucurella
14,29,652,10663388,10663545,7830893,100,7,1000,4,12,0,under my cucurella
15,78,730,275141,285520,7002674,5,7,999,0,0,0,under my cucurella
16,39,769,8389644,8399431,7186893,80,0,997,2,0,8,under my cucurella
17,36,801,9454590,9456588,7661030,90,2,1000,2,4,3,under my cucurella
18,47,844,7009917,7018151,7664302,65,9,1000,2,4,2,under my cucurella
19,48,892,9424413,9429224,7868291,90,4,1001,1,0,0,under my cucurella
20,74,966,1887983,1915833,7512802,20,4,999,0,0,0,under my cucurella
21,61,1027,4067983,4104546,7290219,40,4,998,0,0,2,under my cucurella
22,46,1073,5476327,5480907,7293111,50,14,999,3,0,7,under my cucurella
23,61,1134,4852623,4919861,7261087,45,21,991,0,0,2,under my cucurella
24,81,1207,6785221,6785903,7174835,65,3,993,3,8,5,under my cucurella
25,92,1283,2505083,2506025,7010846,25,2,993,5,16,-2,under my cucurella
26,71,1354,4280079,4314195,6802188,40,10,991,0,0,12,under my cucurella
27,43,1397,9747522,9754447,6932618,90,25,992,2,0,13,under my cucurella
28,71,1464,1076808,1088176,6688225,10,19,991,2,4,1,under my cucurella
29,48,1500,3502044,3504744,6692777,35,32,992,4,12,0,under my cucurella
30,46,1530,5546582,5547766,6844861,50,2,992,5,16,0,under my cucurella
31,26,1552,8885612,8894764,6968745,80,9,995,2,4,1,under my cucurella
32,79,1631,1581939,1596414,6631147,15,46,995,1,0,0,under my cucurella
33,42,1669,9224566,9227361,6791762,85,36,993,2,4,1,under my cucurella
34,30,1699,9272574,9305494,6907740,85,36,994,0,0,0,under my cucurella
35,53,1752,1615666,1663757,6788333,15,36,994,0,0,0,under my cucurella
36,34,1786,8585057,8642323,6867676,80,36,994,0,0,0,under my cucurella
37,29,1815,8814059,8868464,6938394,80,36,991,0,0,0,under my cucurella
38,43,1858,6889556,6890923,6934116,65,0,988,4,0,-1,under my cucurella
