event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,team
35,54,1743,1396325,1442540,6876474,15,2,1003,0,0,0,Inter Row Z
36,43,1786,5343950,5419511,6862466,50,2,1002,0,0,0,Inter Row Z
37,43,1829,4188662,4261304,6791209,40,2,999,0,0,0,Inter Row Z
38,30,1859,10195074,10227649,6919497,90,2,1002,0,0,0,Inter Row Z
1,56,56,4644310,4739304,4644310,55,0,1000,0,0,1,Stranger Mings
2,77,133,2985611,3021408,3380216,35,0,998,0,0,2,Stranger Mings
3,72,205,3556156,3575668,3036287,40,4,997,2,0,4,Stranger Mings
4,49,254,5762480,5813865,3272015,60,4,995,0,0,2,Stranger Mings
5,68,322,2389301,2403531,2643606,25,2,997,2,0,1,Stranger Mings
6,41,363,7082049,7112665,3509728,70,2,995,0,0,2,Stranger Mings
7,39,402,7370408,7414637,4079473,75,2,993,0,0,16,Stranger Mings
8,34,436,5876452,5938255,4287617,60,2,993,0,0,1,Stranger Mings
9,42,478,8994504,9025570,5159563,85,2,991,0,0,0,Stranger Mings
10,32,510,8047349,8048336,5524159,80,8,991,5,0,2,Stranger Mings
11,28,538,10277082,10281815,6447913,100,1,991,1,0,11,Stranger Mings
12,46,584,6189061,6209244,6453574,60,3,988,1,0,8,Stranger Mings
13,47,631,8176401,8209250,6778740,80,3,987,0,0,5,Stranger Mings
14,53,684,6944403,6983117,6859535,65,3,989,0,0,0,Stranger Mings
15,69,753,1086073,1113026,6214812,15,3,991,0,0,0,Stranger Mings
16,33,782,9802614,9802953,6791733,90,0,989,5,4,9,Stranger Mings
17,65,847,4761519,4785111,6440041,45,0,990,0,0,0,Stranger Mings
18,48,895,6612738,6645685,6424917,65,0,990,0,0,9,Stranger Mings
19,61,956,6835018,6870160,6467896,65,0,992,0,0,1,Stranger Mings
20,51,1007,8016052,8055162,6652197,75,0,992,0,0,4,Stranger Mings
21,29,1036,10393038,10406348,7112154,95,0,993,0,0,1,Stranger Mings
22,58,1094,1735512,1735859,6871303,20,5,993,5,0,0,Stranger Mings
23,53,1147,8159708,8215514,7005148,75,5,992,0,0,0,Stranger Mings
24,99,1246,4960138,4978674,6533917,45,5,991,0,0,0,Stranger Mings
25,66,1312,7535946,7557484,6582418,70,5,991,0,0,0,Stranger Mings
26,47,1359,8645086,8663879,6733071,80,5,990,0,0,0,Stranger Mings
27,57,1416,4025052,4094940,6679965,40,5,991,0,0,0,Stranger Mings
28,51,1467,6680956,6723036,6648540,60,5,993,0,0,0,Stranger Mings
29,34,1501,6654290,6697863,6676956,60,5,991,0,0,0,Stranger Mings
30,25,1526,10782439,10796963,6888178,95,5,990,0,0,0,Stranger Mings
31,30,1556,6933515,7003900,6918322,65,5,991,0,0,0,Stranger Mings
32,43,1599,8360013,8400163,6986705,75,5,992,0,0,0,Stranger Mings
33,65,1660,3515387,3515735,6888196,35,12,989,6,4,10,Stranger Mings
34,48,1708,4894299,4935641,6811323,45,12,993,0,0,0,Stranger Mings
35,56,1764,1028212,1061119,6660238,10,12,993,0,0,0,Stranger Mings
36,45,1809,4620286,4686590,6625822,45,12,994,0,0,0,Stranger Mings
37,61,1870,651906,667573,6376371,10,12,993,0,0,2,Stranger Mings
38,55,1925,2823199,2866427,6273366,25,12,991,0,0,0,Stranger Mings
1,39,39,7945140,7954169,7945140,95,0,1000,0,0,1,Hakuna Mateta
2,77,116,3100211,3114413,5918487,35,0,1000,1,0,0,Hakuna Mateta
3,42,158,9035987,9038939,7104641,95,0,1002,0,0,1,Hakuna Mateta
4,36,194,8995470,8998301,7796634,90,0,998,2,0,0,Hakuna Mateta
5,51,245,7219786,7231498,7839689,75,1,997,0,0,3,Hakuna Mateta
6,67,312,1736768,1741341,6980474,20,11,998,1,0,2,Hakuna Mateta
7,54,366,2532384,2545913,6491733,25,11,1002,0,0,6,Hakuna Mateta
8,50,416,1355572,1358766,5654389,15,3,1004,2,0,3,Hakuna Mateta
9,72,488,765432,771150,4540527,10,3,1010,0,0,9,Hakuna Mateta
10,33,521,7620453,7625259,4897050,75,0,1015,2,0,7,Hakuna Mateta
11,44,565,6566540,6578718,5113725,65,0,1015,0,0,10,Hakuna Mateta
12,48,613,5446113,5457155,5118985,55,0,1015,0,0,7,Hakuna Mateta
13,41,654,9435505,9436358,5901274,90,5,1010,2,0,-1,Hakuna Mateta
14,45,699,8838989,8845902,6332922,85,5,1007,0,0,3,Hakuna Mateta
15,72,771,726998,733769,5538729,10,5,1005,0,0,2,Hakuna Mateta
16,27,798,10552950,10553074,6262586,100,0,1004,3,0,4,Hakuna Mateta
17,64,862,5023478,5028698,5983369,50,0,1006,1,0,4,Hakuna Mateta
18,43,905,7657446,7664570,6152286,70,0,1007,0,0,4,Hakuna Mateta
19,71,976,4369268,4380824,5970829,40,0,1007,0,0,3,Hakuna Mateta
20,67,1043,3429420,3440399,5812064,35,0,1008,0,0,2,Hakuna Mateta
21,33,1076,9874369,9878473,6290640,90,0,1007,0,0,3,Hakuna Mateta
22,35,1111,9508209,9509011,6512644,90,2,1005,3,0,5,Hakuna Mateta
23,53,1164,8159708,8175606,6658149,75,2,1003,0,0,1,Hakuna Mateta
24,138,1302,638551,640549,5559526,10,2,1001,0,0,2,Hakuna Mateta
25,81,1383,4682065,4690816,5489454,45,2,1001,0,0,0,Hakuna Mateta
26,65,1448,5666719,5674904,5508789,55,2,1000,0,0,0,Hakuna Mateta
27,33,1481,10989524,10991669,5802555,100,2,1001,0,0,0,Hakuna Mateta
28,55,1536,5521851,5540337,5801331,50,2,999,0,0,1,Hakuna Mateta
29,32,1568,7230342,7241482,5865491,65,2,997,0,0,0,Hakuna Mateta
30,50,1614,3997892,3998030,5848828,40,0,994,6,4,1,Hakuna Mateta
31,60,1674,312948,324349,5500476,5,0,998,0,0,0,Hakuna Mateta
32,52,1726,6149823,6161804,5532207,55,11,1001,0,0,0,Hakuna Mateta
33,31,1757,10710606,10713922,5812574,95,11,1002,0,0,-1,Hakuna Mateta
34,53,1810,4002828,4004646,5729110,40,2,1002,3,0,0,Hakuna Mateta
35,36,1846,7963975,7985392,5791718,70,2,999,0,0,0,Hakuna Mateta
36,38,1884,7202693,7220394,5834221,65,2,997,0,0,10,Hakuna Mateta
37,33,1917,7530096,7546981,5888294,70,2,996,0,0,0,Hakuna Mateta
38,48,1965,4859871,4876547,5870622,45,5,993,0,0,7,Hakuna Mateta
1,37,37,8133626,8135844,8133626,95,5,1000,0,0,2,Röhl With It
2,105,142,97376,97708,1977912,5,5,1000,0,0,1,Röhl With It
3,80,222,1613417,1616449,1323339,20,5,999,2,0,2,Röhl With It
4,54,276,4323689,4327879,1306528,45,0,999,1,0,10,Röhl With It
